id,name,alias,created_at,updated_at,model,group,is_popular,is_moderated,added_by_user_id,connector_ids/0,connector_ids/1,connector_ids/2,connector_ids/3,connector_ids/4,connector_ids/5,connector_ids/6,connector_ids/7,connector_ids/8,connector_ids/9,connector_ids/10,connector_ids/11
248,Volvo V60 Recharge Plug-In Hybrid 2021,volvo_v60_recharge_plug-in_hybrid_2021,2022-04-20T11:35:30.503+02:00,2022-04-20T11:38:12.239+02:00,V60 Recharge Plug-In Hybrid 2021,Volvo,false,true,,4,7,16,17,15,18,,,,,,
249,Porsche Taycan 2021,porsche_taycan_2021,2022-04-20T11:35:30.504+02:00,2022-04-20T11:38:12.240+02:00,Taycan 2021,Porsche,false,true,,4,7,16,2,17,15,18,,,,,
250,Fiat Fiorino Micro-Vett,fiat_fiorino_micro-vett,2022-04-20T11:35:30.505+02:00,2022-04-20T11:38:12.241+02:00,Fiorino Micro-Vett,Fiat,false,true,,18,17,16,7,,,,,,,,
251,Citroën e-C4,citroën_e-c4,2022-04-20T11:35:30.507+02:00,2022-04-20T11:38:12.242+02:00,e-C4,Citroën,false,true,,7,16,2,17,18,,,,,,,
252,AvtoVAZ Lada Ellada,avtovaz_lada_ellada,2022-04-20T11:35:30.508+02:00,2022-04-20T11:38:12.243+02:00,Lada Ellada,AvtoVAZ,false,true,,2,17,7,,,,,,,,,
253,Mercedes GLA250e,mercedes_gla250e,2022-04-20T11:35:30.510+02:00,2022-04-20T11:38:12.244+02:00,GLA250e,Mercedes,false,true,,18,17,16,7,,,,,,,,
254,BMW iX3 2020,bmw_ix3_2020,2022-04-20T11:35:30.511+02:00,2022-04-20T11:38:12.245+02:00,iX3 2020,BMW,false,true,,7,16,2,17,18,,,,,,,
255,Nissan LEAF 2021,nissan_leaf_2021,2022-04-20T11:35:30.515+02:00,2022-04-20T11:38:12.247+02:00,LEAF 2021,Nissan,false,true,,7,3,16,17,18,,,,,,,
256,Audi e-tron 2020,audi_e-tron_2020,2022-04-20T11:35:30.516+02:00,2022-04-20T11:38:12.248+02:00,e-tron 2020,Audi,false,true,,4,7,14,16,2,17,15,18,,,,
257,Audi e-tron 2021,audi_e-tron_2021,2022-04-20T11:35:30.517+02:00,2022-04-20T11:38:12.249+02:00,e-tron 2021,Audi,false,true,,4,7,14,16,2,17,15,18,,,,
258,BYD EV360,byd_ev360,2022-04-20T11:35:30.518+02:00,2022-04-20T11:38:12.250+02:00,EV360,BYD,false,true,,7,16,2,17,18,,,,,,,
259,Audi e-tron GT 2021,audi_e-tron_gt_2021,2022-04-20T11:35:30.520+02:00,2022-04-20T11:38:12.251+02:00,e-tron GT 2021,Audi,false,true,,4,7,14,16,2,17,15,18,,,,
261,Aiways U5 2021,aiways_u5_2021,2022-04-20T11:35:30.522+02:00,2022-04-20T11:38:12.253+02:00,U5 2021,Aiways,false,true,,7,16,2,17,18,,,,,,,
262,Hyundai Kona Electric 2022,hyundai_kona_electric_2022,2022-04-20T11:35:30.523+02:00,2022-04-20T11:38:12.254+02:00,Kona Electric 2022,Hyundai,false,true,,7,16,2,17,18,,,,,,,
263,Hyundai Ioniq Electric 2021,hyundai_ioniq_electric_2021,2022-04-20T11:35:30.524+02:00,2022-04-20T11:38:12.254+02:00,Ioniq Electric 2021,Hyundai,false,true,,7,16,2,17,18,,,,,,,
221,FOMM One EV,fomm_one_ev,2022-04-20T11:35:30.467+02:00,2022-04-20T11:38:12.209+02:00,One EV,FOMM,false,true,,7,16,17,15,18,,,,,,,
222,Mercedes EQV,mercedes_eqv,2022-04-20T11:35:30.469+02:00,2022-04-20T11:38:12.210+02:00,EQV,Mercedes,false,true,,7,16,2,17,15,18,,,,,,
223,Mercedes eSprinter,mercedes_esprinter,2022-04-20T11:35:30.470+02:00,2022-04-20T11:38:12.211+02:00,eSprinter,Mercedes,false,true,,18,17,16,7,,,,,,,,
224,Sebring Vanguard Citicar,sebring_vanguard_citicar,2022-04-20T11:35:30.471+02:00,2022-04-20T11:38:12.212+02:00,CitiCar,Sebring Vanguard,false,true,,15,18,16,17,,,,,,,,
225,BMW X5 xDrive45e Plug-In Hybrid 2021,bmw_x5_xdrive45e_plug-in_hybrid_2021,2022-04-20T11:35:30.472+02:00,2022-04-20T11:38:12.213+02:00,X5 xDrive45e Plug-In Hybrid 2021,BMW,false,true,,4,7,16,17,15,18,,,,,,
226,Volvo XC40 Recharge 2020,volvo_xc40_recharge_2020,2022-04-20T11:35:30.473+02:00,2022-04-20T11:38:12.214+02:00,XC40 Recharge 2020,Volvo,false,true,,4,7,16,2,17,15,18,,,,,
227,BMW 330e Plug-In Hybrid 2020,bmw_330e_plug-in_hybrid_2020,2022-04-20T11:35:30.474+02:00,2022-04-20T11:38:12.216+02:00,330e Plug-In Hybrid 2020,BMW,false,true,,4,7,16,17,15,18,,,,,,
228,Jeep Wrangler 4xe Plug-In Hybrid 2021,jeep_wrangler_4xe_plug-in_hybrid_2021,2022-04-20T11:35:30.476+02:00,2022-04-20T11:38:12.217+02:00,Wrangler 4xe Plug-In Hybrid 2021,Jeep,false,true,,7,16,17,15,18,,,,,,,
229,Smart EQ Fortwo,smart_eq_fortwo,2022-04-20T11:35:30.478+02:00,2022-04-20T11:38:12.218+02:00,EQ Fortwo,Smart,false,true,,4,7,16,17,15,18,,,,,,
230,Bentley Bentayga Hybrid,bentley_bentayga_hybrid,2022-04-20T11:35:30.479+02:00,2022-04-20T11:38:12.219+02:00,Bentayga Hybrid,Bentley,false,true,,4,7,16,17,15,,,,,,,
271,Renault Megane E-Tech Plug-In Hybrid,renault_megane_e-tech_plug-in_hybrid,2022-04-20T11:35:30.534+02:00,2022-04-20T11:38:12.262+02:00,Megane E-Tech Plug-In Hybrid,Renault,false,true,,18,17,16,7,,,,,,,,
272,Renault Megane Sport Tourer E-Tech Plug-In Hybrid,renault_megane_sport_tourer_e-tech_plug-in_hybrid,2022-04-20T11:35:30.535+02:00,2022-04-20T11:38:12.263+02:00,Megane Sport Tourer E-Tech Plug-In Hybrid,Renault,false,true,,7,16,17,15,18,,,,,,,
273,Dacia Spring 2021,dacia_spring_2021,2022-04-20T11:35:30.536+02:00,2022-04-20T11:38:12.264+02:00,Spring 2021,Dacia,false,true,,7,16,2,17,15,18,,,,,,
274,Audi e-tron GT 2022,audi_e-tron_gt_2022,2022-04-20T11:35:30.778+02:00,2022-04-20T11:38:12.265+02:00,e-tron GT 2022,Audi,false,true,,4,7,14,16,2,17,15,18,,,,
275,Audi A8 Plug-In Hybrid 2020,audi_a8_plug-in_hybrid_2020,2022-04-20T11:35:30.781+02:00,2022-04-20T11:38:12.266+02:00,A8 Plug-In Hybrid 2020,Audi,false,true,,18,17,16,7,,,,,,,,
276,Audi A8 Plug-In Hybrid 2021,audi_a8_plug-in_hybrid_2021,2022-04-20T11:35:30.782+02:00,2022-04-20T11:38:12.267+02:00,A8 Plug-In Hybrid 2021,Audi,false,true,,18,17,16,7,,,,,,,,
277,Audi A7 Sportback Plug-In Hybrid 2020,audi_a7_sportback_plug-in_hybrid_2020,2022-04-20T11:35:30.784+02:00,2022-04-20T11:38:12.268+02:00,A7 Sportback Plug-In Hybrid 2020,Audi,false,true,,7,16,17,15,18,,,,,,,
278,Audi A7 Sportback Plug-In Hybrid 2021,audi_a7_sportback_plug-in_hybrid_2021,2022-04-20T11:35:30.785+02:00,2022-04-20T11:38:12.268+02:00,A7 Sportback Plug-In Hybrid 2021,Audi,false,true,,18,17,16,7,,,,,,,,
279,Audi A6 Avant Plug-In Hybrid 2020,audi_a6_avant_plug-in_hybrid_2020,2022-04-20T11:35:30.786+02:00,2022-04-20T11:38:12.269+02:00,A6 Avant Plug-In Hybrid 2020,Audi,false,true,,7,16,17,15,18,,,,,,,
280,Audi A6 Avant Plug-In Hybrid 2021,audi_a6_avant_plug-in_hybrid_2021,2022-04-20T11:35:30.787+02:00,2022-04-20T11:38:12.271+02:00,A6 Avant Plug-In Hybrid 2021,Audi,false,true,,7,16,17,15,18,,,,,,,
281,Audi A6 Plug-In Hybrid 2020,audi_a6_plug-in_hybrid_2020,2022-04-20T11:35:30.788+02:00,2022-04-20T11:38:12.272+02:00,A6 Plug-In Hybrid 2020,Audi,false,true,,7,16,17,15,18,,,,,,,
282,Audi A6 Plug-In Hybrid 2021,audi_a6_plug-in_hybrid_2021,2022-04-20T11:35:30.789+02:00,2022-04-20T11:38:12.273+02:00,A6 Plug-In Hybrid 2021,Audi,false,true,,7,16,17,15,18,,,,,,,
283,Audi Q5 Plug-In Hybrid 2020,audi_q5_plug-in_hybrid_2020,2022-04-20T11:35:30.791+02:00,2022-04-20T11:38:12.274+02:00,Q5 Plug-In Hybrid 2020,Audi,false,true,,4,7,16,17,15,18,,,,,,
284,Audi Q5 Plug-In Hybrid 2021,audi_q5_plug-in_hybrid_2021,2022-04-20T11:35:30.792+02:00,2022-04-20T11:38:12.275+02:00,Q5 Plug-In Hybrid 2021,Audi,false,true,,7,16,17,15,18,,,,,,,
285,Audi Q5 Sportback Plug-In Hybrid 2021,audi_q5_sportback_plug-in_hybrid_2021,2022-04-20T11:35:30.793+02:00,2022-04-20T11:38:12.276+02:00,Q5 Sportback Plug-In Hybrid 2021,Audi,false,true,,18,17,16,7,,,,,,,,
286,Audi Q4 e-tron 2021,audi_q4_e-tron_2021,2022-04-20T11:35:30.794+02:00,2022-04-20T11:38:12.277+02:00,Q4 e-tron 2021,Audi,false,true,,4,7,16,2,17,18,,,,,,
287,Audi Q4 e-tron 2022,audi_q4_e-tron_2022,2022-04-20T11:35:30.796+02:00,2022-04-20T11:38:12.278+02:00,Q4 e-tron 2022,Audi,false,true,,7,16,2,17,18,,,,,,,
288,Mercedes EQS 580,mercedes_eqs_580,2022-04-20T11:35:30.797+02:00,2022-04-20T11:38:12.279+02:00,EQS 580,Mercedes,false,true,,7,16,2,17,18,,,,,,,
289,Audi e-tron Sportback 2021,audi_e-tron_sportback_2021,2022-04-20T11:35:30.799+02:00,2022-04-20T11:38:12.281+02:00,e-tron Sportback 2021,Audi,false,true,,7,16,2,17,15,18,,,,,,
290,Audi A7 Plug-In Hybrid 2021,audi_a7_plug-in_hybrid_2021,2022-04-20T11:35:30.800+02:00,2022-04-20T11:38:12.282+02:00,A7 Plug-In Hybrid 2021,Audi,false,true,,18,17,16,7,,,,,,,,
291,Audi A3 Plug-In Hybrid 2021,audi_a3_plug-in_hybrid_2021,2022-04-20T11:35:30.804+02:00,2022-04-20T11:38:12.283+02:00,A3 Plug-In Hybrid 2021,Audi,false,true,,18,17,16,7,,,,,,,,
292,Audi A3 Plug-In Hybrid 2022,audi_a3_plug-in_hybrid_2022,2022-04-20T11:35:30.805+02:00,2022-04-20T11:38:12.284+02:00,A3 Plug-In Hybrid 2022,Audi,false,true,,18,17,16,7,,,,,,,,
293,Audi Q7 Plug-In Hybrid 2020,audi_q7_plug-in_hybrid_2020,2022-04-20T11:35:30.807+02:00,2022-04-20T11:38:12.286+02:00,Q7 Plug-In Hybrid 2020,Audi,false,true,,7,16,17,15,18,,,,,,,
294,Audi Q7 Plug-In Hybrid 2021,audi_q7_plug-in_hybrid_2021,2022-04-20T11:35:30.808+02:00,2022-04-20T11:38:12.287+02:00,Q7 Plug-In Hybrid 2021,Audi,false,true,,18,17,16,7,,,,,,,,
295,Audi Q8 Plug-In Hybrid 2021,audi_q8_plug-in_hybrid_2021,2022-04-20T11:35:30.811+02:00,2022-04-20T11:38:12.288+02:00,Q8 Plug-In Hybrid 2021,Audi,false,true,,18,17,16,7,,,,,,,,
296,Audi Q3 Plug-In Hybrid 2021,audi_q3_plug-in_hybrid_2021,2022-04-20T11:35:30.812+02:00,2022-04-20T11:38:12.289+02:00,Q3 Plug-In Hybrid 2021,Audi,false,true,,7,16,17,15,18,,,,,,,
297,Audi Q3 Sportback Plug-In Hybrid 2021,audi_q3_sportback_plug-in_hybrid_2021,2022-04-20T11:35:30.813+02:00,2022-04-20T11:38:12.290+02:00,Q3 Sportback Plug-In Hybrid 2021,Audi,false,true,,7,16,17,15,18,,,,,,,
298,MG Motor HS Plug-In Hybrid,mg_motor_hs_plug-in_hybrid,2022-04-20T11:35:30.814+02:00,2022-04-20T11:38:12.291+02:00,HS Plug-In Hybrid,MG Motor,false,true,,18,17,16,7,,,,,,,,
299,Mercedes EQA250,mercedes_eqa250,2022-04-20T11:35:30.815+02:00,2022-04-20T11:38:12.292+02:00,EQA 250,Mercedes,false,true,,7,16,2,17,18,,,,,,,
300,Cupra Leon Plug-In Hybrid,cupra_leon_plug-in_hybrid,2022-04-20T11:35:30.817+02:00,2022-04-20T11:38:12.293+02:00,Leon Plug-In Hybrid,Cupra,false,true,,7,16,17,15,18,,,,,,,
301,Cupra Leon Estate Plug-In Hybrid,cupra_leon_estate_plug-in_hybrid,2022-04-20T11:35:30.818+02:00,2022-04-20T11:38:12.294+02:00,Leon Estate Plug-In Hybrid,Cupra,false,true,,7,16,17,15,18,,,,,,,
264,Hyundai Ioniq 5 2021,hyundai_ioniq_5_2021,2022-04-20T11:35:30.526+02:00,2022-04-20T11:38:12.255+02:00,Ioniq 5 2021,Hyundai,false,true,,7,16,2,17,15,18,,,,,,
